V-1,V-2,V-3,V-4,V-5,V-6,V-7,V-8,V-9,V-10
2.00,1540.00,590.00,215.60,140.00,698.95,2.00,820.00,910.00,160.00
2.00,4330.00,1110.00,86.60,20.00,421.26,4.00,170.00,220.00,30.00
2.00,2710.00,600.00,867.20,320.00,637.72,6.00,2300.00,3100.00,490.00
2.00,1350.00,350.00,270.00,200.00,576.74,5.00,1700.00,2000.00,270.00
2.00,1260.00,330.00,189.00,150.00,875.96,5.00,790.00,1000.00,210.00
2.00,1710.00,440.00,171.00,100.00,798.68,5.00,630.00,780.00,120.00
2.00,730.00,190.00,226.30,310.00,893.95,6.00,1800.00,2200.00,450.00
2.00,450.00,120.00,58.50,130.00,913.31,7.00,690.00,930.00,160.00
2.00,610.00,160.00,183.00,300.00,597.86,6.00,2700.00,3600.00,460.00
2.00,3160.00,700.00,537.20,170.00,694.97,6.00,1100.00,1400.00,300.00
2.00,370.00,120.00,40.70,110.00,585.22,5.00,1200.00,1500.00,140.00
2.00,690.00,160.00,89.70,130.00,770.35,8.00,990.00,1400.00,190.00
3.00,2140.00,400.00,813.20,380.00,614.00,5.00,3200.00,4000.00,530.00
3.00,7500.00,1260.00,2775.00,370.00,820.91,11.00,1800.00,3000.00,700.00
3.00,2100.00,500.00,126.00,60.00,1158.47,11.00,300.00,500.00,180.00
3.00,4600.00,1000.00,2668.00,580.00,3436.93,11.00,1300.00,2100.00,900.00
3.00,5200.00,800.00,208.00,40.00,958.39,13.00,120.00,300.00,130.00
3.00,1820.00,400.00,655.20,360.00,474.74,5.00,3400.00,4000.00,450.00
3.00,1500.00,350.00,810.00,540.00,637.93,6.00,4300.00,3750.00,650.00
3.00,3100.00,640.00,1798.00,580.00,647.79,7.00,4600.00,4000.00,700.00
3.00,2260.00,440.00,158.20,70.00,569.44,7.00,620.00,860.00,80.00
3.00,1090.00,280.00,152.60,140.00,777.06,5.00,1500.00,1900.00,180.00
3.00,2530.00,560.00,759.00,300.00,722.86,6.00,1800.00,2200.00,330.00
3.00,4070.00,1040.00,895.40,220.00,634.42,4.00,1800.00,2000.00,290.00
3.00,6000.00,1320.00,1800.00,300.00,752.65,5.00,2800.00,3400.00,400.00
3.00,820.00,260.00,49.20,60.00,644.47,4.00,630.00,800.00,90.00
3.00,1150.00,300.00,80.50,70.00,718.57,5.00,620.00,870.00,90.00
3.00,4000.00,880.00,400.00,100.00,750.70,5.00,540.00,680.00,110.00
3.00,3240.00,630.00,680.40,210.00,715.52,7.00,2300.00,2900.00,290.00
3.00,1380.00,360.00,110.40,80.00,735.87,5.00,630.00,800.00,100.00
3.00,2170.00,480.00,542.50,250.00,854.84,6.00,1500.00,1800.00,340.00
3.00,1820.00,400.00,200.20,110.00,753.66,6.00,920.00,1200.00,140.00
3.00,580.00,150.00,17.40,30.00,631.89,6.00,240.00,370.00,70.00
3.00,2120.00,470.00,572.40,270.00,650.57,6.00,2900.00,3600.00,300.00
3.00,5110.00,980.00,1430.80,280.00,505.51,7.00,2800.00,4200.00,410.00
3.00,3110.00,690.00,777.50,250.00,720.93,5.00,2600.00,3100.00,340.00
3.00,2030.00,450.00,365.40,180.00,565.58,6.00,1800.00,2200.00,260.00
3.00,4840.00,930.00,1452.00,300.00,541.61,7.00,3300.00,5100.00,430.00
3.00,4090.00,900.00,1104.30,270.00,655.93,5.00,2200.00,2600.00,370.00
3.00,3280.00,720.00,459.20,140.00,805.03,6.00,1200.00,1600.00,150.00
3.00,1610.00,410.00,177.10,110.00,585.22,5.00,1700.00,2100.00,140.00
3.00,1710.00,440.00,119.70,70.00,525.49,5.00,880.00,1100.00,80.00
4.00,2100.00,380.00,819.00,390.00,601.08,4.00,2800.00,3400.00,510.00
4.00,1800.00,500.00,954.00,530.00,626.12,7.00,1900.00,1700.00,650.00
4.00,1900.00,550.00,437.00,230.00,1362.92,7.00,550.00,750.00,320.00
4.00,1895.00,550.00,379.00,200.00,1446.67,6.00,450.00,580.00,250.00
4.00,2100.00,450.00,546.00,260.00,816.95,5.00,600.00,700.00,330.00
4.00,2050.00,700.00,492.00,240.00,527.22,10.00,2100.00,3300.00,450.00
4.00,1052.00,250.00,168.32,160.00,948.12,6.00,770.00,1000.00,200.00
4.00,1650.00,432.00,264.00,160.00,851.23,5.00,550.00,700.00,200.00
4.00,3350.00,800.00,804.00,240.00,369.90,7.00,1300.00,1600.00,370.00
4.00,1450.00,336.00,507.50,350.00,442.61,2.00,1800.00,1850.00,400.00
4.00,1130.00,260.00,339.00,300.00,511.56,3.00,1400.00,1700.00,390.00
4.00,1200.00,1100.00,300.00,250.00,451.35,7.00,980.00,1500.00,370.00
4.00,1450.00,336.00,536.50,370.00,371.34,4.00,2300.00,1900.00,390.00
4.00,1560.00,400.00,171.60,110.00,878.55,5.00,420.00,520.00,130.00
4.00,2740.00,610.00,767.20,280.00,542.42,6.00,1500.00,2200.00,440.00
4.00,2120.00,470.00,508.80,240.00,817.74,6.00,1100.00,1300.00,350.00
4.00,1650.00,510.00,181.50,110.00,651.83,3.00,820.00,920.00,120.00
4.00,1430.00,440.00,57.20,40.00,772.31,4.00,280.00,350.00,120.00
4.00,720.00,190.00,72.00,100.00,798.68,6.00,490.00,630.00,120.00
4.00,2070.00,400.00,269.10,130.00,723.64,7.00,730.00,1000.00,170.00
4.00,1900.00,420.00,190.00,100.00,575.02,6.00,720.00,940.00,110.00
4.00,390.00,100.00,62.40,160.00,547.10,8.00,1000.00,1300.00,220.00
4.00,1540.00,340.00,446.60,290.00,727.56,6.00,1500.00,1900.00,430.00
4.00,2410.00,530.00,216.90,90.00,525.58,6.00,640.00,840.00,130.00
4.00,440.00,120.00,13.20,30.00,779.57,8.00,160.00,250.00,60.00
4.00,1430.00,320.00,42.90,30.00,477.90,6.00,170.00,270.00,30.00
4.00,1190.00,310.00,130.90,110.00,642.37,5.00,870.00,1100.00,150.00
4.00,930.00,240.00,93.00,100.00,770.16,5.00,460.00,580.00,110.00
4.00,1660.00,430.00,282.20,170.00,728.63,5.00,1200.00,1500.00,240.00
4.00,1800.00,560.00,36.00,20.00,459.54,4.00,110.00,130.00,30.00
4.00,1500.00,330.00,540.00,360.00,867.43,7.00,1300.00,1700.00,440.00
4.00,2300.00,510.00,207.00,90.00,536.26,6.00,580.00,740.00,110.00
4.00,1600.00,360.00,272.00,170.00,728.63,7.00,1200.00,1500.00,310.00
5.00,2140.00,470.00,235.40,110.00,663.38,6.00,660.00,840.00,140.00
5.00,2010.00,520.00,381.90,190.00,814.35,4.00,1200.00,1400.00,240.00
5.00,2670.00,690.00,213.60,80.00,600.56,5.00,340.00,430.00,90.00
5.00,2290.00,710.00,91.60,40.00,637.20,3.00,190.00,240.00,70.00
5.00,2370.00,610.00,189.60,80.00,617.07,4.00,380.00,450.00,90.00
5.00,1700.00,380.00,493.00,290.00,494.51,7.00,1700.00,2300.00,450.00
5.00,6740.00,1300.00,674.00,100.00,603.07,6.00,780.00,990.00,130.00
5.00,3180.00,700.00,1049.40,330.00,732.16,5.00,1600.00,2000.00,430.00
5.00,2630.00,580.00,315.60,120.00,599.10,6.00,850.00,1100.00,160.00
5.00,870.00,230.00,69.60,80.00,650.79,6.00,320.00,430.00,100.00
5.00,1810.00,400.00,488.70,270.00,538.07,6.00,2000.00,2700.00,420.00
5.00,2190.00,490.00,503.70,230.00,786.46,6.00,1200.00,1500.00,320.00
5.00,2500.00,640.00,300.00,120.00,599.10,4.00,810.00,970.00,140.00
5.00,3650.00,940.00,1168.00,320.00,802.83,5.00,1500.00,1800.00,420.00
5.00,990.00,260.00,297.00,300.00,581.16,6.00,1700.00,2500.00,470.00
5.00,2330.00,600.00,256.30,110.00,792.82,4.00,390.00,460.00,120.00
5.00,1190.00,310.00,107.10,90.00,632.29,5.00,500.00,630.00,110.00
5.00,2370.00,730.00,71.10,30.00,400.73,3.00,210.00,270.00,90.00
5.00,1040.00,270.00,41.60,40.00,534.30,5.00,210.00,310.00,60.00
5.00,5280.00,1160.00,1584.00,300.00,659.02,5.00,1500.00,1900.00,420.00
6.00,760.00,200.00,174.80,230.00,786.46,11.00,810.00,1200.00,400.00
6.00,920.00,210.00,119.60,130.00,649.02,8.00,1300.00,1900.00,200.00
6.00,1020.00,270.00,142.80,140.00,829.60,6.00,840.00,1100.00,180.00
6.00,1310.00,340.00,52.40,40.00,534.30,5.00,470.00,690.00,70.00
6.00,1040.00,270.00,93.60,90.00,718.81,5.00,810.00,1000.00,110.00
6.00,200.00,60.00,6.00,30.00,718.79,11.00,230.00,500.00,140.00
6.00,2880.00,740.00,662.40,230.00,579.07,5.00,2300.00,2800.00,300.00
6.00,1820.00,400.00,546.00,300.00,541.61,7.00,2600.00,3900.00,430.00
6.00,3050.00,670.00,1006.50,330.00,508.61,5.00,4300.00,5200.00,460.00
6.00,850.00,220.00,68.00,80.00,548.12,5.00,870.00,1100.00,100.00
6.00,1070.00,210.00,42.80,40.00,772.31,9.00,430.00,670.00,110.00
6.00,540.00,140.00,70.20,130.00,759.17,7.00,1400.00,1900.00,180.00
6.00,1800.00,400.00,378.00,210.00,659.84,6.00,2000.00,2400.00,300.00
6.00,3260.00,720.00,489.00,150.00,642.91,5.00,1500.00,1800.00,220.00
6.00,1450.00,320.00,377.00,260.00,443.35,7.00,3100.00,4200.00,410.00
6.00,840.00,220.00,100.80,120.00,690.02,6.00,770.00,1000.00,130.00
6.00,1330.00,300.00,172.90,130.00,649.02,7.00,1100.00,1500.00,190.00
6.00,360.00,100.00,86.40,240.00,409.25,8.00,3300.00,4600.00,390.00
6.00,1910.00,420.00,152.80,80.00,425.62,6.00,1000.00,1300.00,110.00
7.00,350.00,143.00,122.50,350.00,442.61,3.00,1800.00,1900.00,420.00
7.00,900.00,150.00,63.00,70.00,751.88,6.00,210.00,300.00,100.00
7.00,2190.00,420.00,459.90,210.00,652.57,7.00,1000.00,1300.00,300.00
7.00,770.00,170.00,231.00,300.00,728.81,7.00,1400.00,1800.00,440.00
7.00,1060.00,240.00,190.80,180.00,784.87,7.00,1100.00,1500.00,250.00
7.00,3270.00,510.00,327.00,100.00,579.84,9.00,230.00,360.00,90.00
7.00,920.00,290.00,46.00,50.00,513.26,4.00,190.00,260.00,60.00
7.00,360.00,100.00,86.40,240.00,409.25,8.00,1600.00,2200.00,400.00
7.00,680.00,180.00,40.80,60.00,644.47,6.00,300.00,420.00,90.00
7.00,940.00,250.00,94.00,100.00,723.33,6.00,550.00,720.00,120.00
7.00,7010.00,1200.00,1472.10,210.00,718.07,7.00,1200.00,1500.00,300.00
7.00,1310.00,290.00,104.80,80.00,578.67,7.00,480.00,650.00,100.00
7.00,2110.00,470.00,189.90,90.00,620.86,5.00,490.00,590.00,110.00
7.00,1380.00,310.00,193.20,140.00,744.83,7.00,700.00,960.00,200.00
7.00,1540.00,400.00,154.00,100.00,555.04,5.00,870.00,1100.00,140.00
7.00,1450.00,320.00,203.00,140.00,600.05,7.00,840.00,1100.00,250.00
7.00,1980.00,440.00,495.00,250.00,549.19,6.00,1700.00,2300.00,360.00
7.00,2390.00,610.00,71.70,30.00,585.11,4.00,170.00,220.00,50.00
7.00,1990.00,440.00,258.70,130.00,721.55,6.00,840.00,1100.00,180.00
7.00,360.00,80.00,21.60,60.00,644.47,11.00,330.00,570.00,100.00
7.00,2240.00,430.00,134.40,60.00,434.00,8.00,390.00,550.00,90.00
8.00,1580.00,363.00,331.80,210.00,526.86,8.00,1200.00,1800.00,350.00
8.00,1580.00,363.00,284.40,180.00,615.49,8.00,770.00,1000.00,250.00
8.00,270.00,90.00,24.30,90.00,693.15,7.00,480.00,650.00,100.00
8.00,620.00,160.00,62.00,100.00,436.04,6.00,1100.00,1400.00,150.00
8.00,1510.00,390.00,241.60,160.00,654.09,5.00,1100.00,1300.00,210.00
8.00,470.00,120.00,14.10,30.00,579.23,7.00,330.00,460.00,90.00
8.00,1020.00,320.00,102.00,100.00,575.02,4.00,550.00,670.00,110.00
8.00,450.00,120.00,103.50,230.00,505.25,7.00,1700.00,2400.00,390.00
8.00,530.00,140.00,148.40,280.00,542.42,7.00,1800.00,2700.00,470.00
8.00,1050.00,270.00,115.50,110.00,612.31,6.00,840.00,1100.00,140.00
8.00,640.00,250.00,96.00,150.00,654.06,2.00,1100.00,1200.00,170.00
8.00,400.00,110.00,40.00,100.00,499.25,7.00,880.00,1200.00,160.00
8.00,1300.00,290.00,247.00,190.00,735.11,7.00,1100.00,1400.00,300.00
8.00,670.00,180.00,154.10,230.00,577.03,6.00,1700.00,2200.00,350.00
8.00,510.00,160.00,15.30,30.00,654.64,5.00,150.00,210.00,50.00
8.00,780.00,200.00,241.80,310.00,753.11,6.00,1400.00,1700.00,400.00
8.00,1060.00,280.00,349.80,330.00,795.15,5.00,1600.00,1900.00,360.00
8.00,1580.00,410.00,47.40,30.00,585.11,5.00,210.00,300.00,70.00
8.00,1540.00,340.00,154.00,100.00,592.57,7.00,710.00,970.00,140.00
8.00,770.00,200.00,146.30,190.00,590.42,6.00,1300.00,1600.00,240.00
8.00,550.00,140.00,44.00,80.00,578.67,7.00,530.00,720.00,100.00
9.00,970.00,250.00,97.00,100.00,583.97,6.00,360.00,480.00,140.00
9.00,500.00,130.00,145.00,290.00,523.56,7.00,920.00,1400.00,420.00
9.00,1680.00,370.00,285.60,170.00,490.23,6.00,800.00,1000.00,260.00
9.00,520.00,120.00,62.40,120.00,667.98,9.00,360.00,520.00,170.00
10.00,300.00,80.00,33.00,110.00,536.64,9.00,670.00,960.00,180.00
10.00,280.00,90.00,44.80,160.00,388.70,6.00,710.00,870.00,210.00
10.00,660.00,170.00,112.20,170.00,490.23,6.00,680.00,850.00,260.00
10.00,450.00,120.00,54.00,120.00,490.57,8.00,500.00,670.00,210.00
10.00,950.00,250.00,114.00,120.00,514.33,5.00,500.00,620.00,170.00
10.00,430.00,100.00,8.60,20.00,436.43,10.00,90.00,180.00,90.00
10.00,490.00,160.00,14.70,30.00,467.30,5.00,100.00,150.00,50.00
11.00,870.00,230.00,174.00,200.00,481.91,6.00,1300.00,1600.00,220.00
11.00,220.00,70.00,30.80,140.00,478.71,7.00,770.00,970.00,210.00
11.00,600.00,160.00,12.00,20.00,392.14,6.00,110.00,180.00,60.00
11.00,2650.00,590.00,238.50,90.00,449.32,5.00,810.00,1000.00,110.00
12.00,1370.00,300.00,109.60,80.00,476.68,7.00,640.00,850.00,100.00
12.00,700.00,180.00,42.00,60.00,488.09,6.00,250.00,330.00,80.00
12.00,1810.00,470.00,488.70,270.00,523.05,5.00,860.00,1200.00,410.00
12.00,960.00,250.00,67.20,70.00,417.09,5.00,350.00,430.00,80.00
12.00,990.00,310.00,99.00,100.00,499.25,4.00,550.00,660.00,120.00
12.00,980.00,250.00,107.80,110.00,471.47,5.00,780.00,960.00,160.00
12.00,380.00,100.00,60.80,160.00,547.10,8.00,650.00,840.00,230.00
12.00,540.00,140.00,75.60,140.00,478.71,6.00,900.00,1100.00,200.00
12.00,280.00,80.00,22.40,80.00,444.03,9.00,650.00,970.00,140.00
12.00,1000.00,260.00,20.00,20.00,436.43,5.00,80.00,110.00,30.00
12.00,2390.00,530.00,239.00,100.00,499.25,6.00,400.00,520.00,140.00
12.00,810.00,210.00,194.40,240.00,532.48,6.00,900.00,1200.00,330.00
12.00,230.00,60.00,18.40,80.00,460.02,10.00,350.00,560.00,110.00
13.00,982.50,202.50,353.70,360.00,554.84,5.00,1900.00,2300.00,500.00
13.00,740.00,190.00,37.00,50.00,361.67,6.00,340.00,440.00,70.00
13.00,700.00,220.00,63.00,90.00,521.86,4.00,220.00,280.00,70.00
13.00,960.00,220.00,67.20,70.00,405.89,7.00,140.00,200.00,60.00
13.00,620.00,160.00,31.00,50.00,342.57,6.00,320.00,420.00,70.00
13.00,730.00,230.00,14.60,20.00,397.43,5.00,150.00,200.00,30.00
13.00,1780.00,390.00,231.40,130.00,442.94,7.00,510.00,630.00,190.00
13.00,520.00,140.00,78.00,150.00,466.12,7.00,1200.00,1500.00,220.00
13.00,930.00,240.00,46.50,50.00,513.26,6.00,220.00,330.00,80.00
13.00,670.00,180.00,46.90,70.00,539.11,6.00,290.00,370.00,80.00
13.00,550.00,140.00,77.00,140.00,439.90,7.00,1000.00,1300.00,210.00
13.00,430.00,110.00,81.70,190.00,476.68,8.00,820.00,1200.00,310.00
13.00,1230.00,270.00,98.40,80.00,474.06,6.00,680.00,890.00,100.00
14.00,840.00,215.00,218.40,260.00,1495.05,10.00,440.00,700.00,350.00
14.00,730.00,190.00,65.70,90.00,542.77,6.00,490.00,620.00,110.00
14.00,470.00,120.00,32.90,70.00,493.59,7.00,380.00,520.00,90.00
14.00,800.00,210.00,56.00,70.00,372.41,6.00,440.00,570.00,100.00
14.00,760.00,240.00,15.20,20.00,459.54,4.00,80.00,100.00,30.00
14.00,850.00,220.00,59.50,70.00,422.15,5.00,520.00,630.00,80.00
14.00,310.00,80.00,31.00,100.00,487.86,9.00,770.00,1100.00,170.00
14.00,670.00,180.00,174.20,260.00,469.40,7.00,1100.00,1700.00,380.00
14.00,1070.00,280.00,74.90,70.00,539.11,6.00,260.00,330.00,80.00
14.00,920.00,290.00,36.80,40.00,325.39,4.00,370.00,450.00,50.00
14.00,940.00,250.00,56.40,60.00,462.80,5.00,190.00,230.00,70.00
14.00,2490.00,550.00,199.20,80.00,467.18,6.00,700.00,930.00,120.00
14.00,1110.00,250.00,88.80,80.00,390.29,7.00,900.00,1200.00,120.00
14.00,580.00,150.00,75.40,130.00,442.94,7.00,1100.00,1300.00,190.00
14.00,330.00,90.00,23.10,70.00,414.80,9.00,320.00,470.00,100.00
14.00,720.00,190.00,165.60,230.00,354.48,6.00,1200.00,1500.00,350.00
14.00,1080.00,240.00,205.20,190.00,343.02,6.00,1000.00,1500.00,270.00
14.00,370.00,120.00,3.70,10.00,196.07,5.00,180.00,270.00,20.00
14.00,370.00,100.00,74.00,200.00,481.91,8.00,650.00,830.00,280.00
14.00,580.00,150.00,75.40,130.00,531.45,6.00,870.00,1100.00,230.00
14.00,520.00,140.00,109.20,210.00,323.66,6.00,1000.00,1300.00,320.00
15.00,350.00,110.00,35.00,100.00,499.25,6.00,550.00,710.00,130.00
15.00,620.00,160.00,136.40,220.00,375.15,6.00,1100.00,1500.00,330.00
15.00,1120.00,290.00,358.40,320.00,421.99,6.00,1600.00,1900.00,430.00
15.00,360.00,100.00,28.80,80.00,463.87,8.00,210.00,310.00,70.00
15.00,460.00,120.00,96.60,210.00,461.32,7.00,1300.00,1800.00,360.00
15.00,400.00,110.00,40.00,100.00,428.61,8.00,740.00,1000.00,160.00
15.00,430.00,110.00,73.10,170.00,409.62,7.00,650.00,840.00,210.00
15.00,1230.00,320.00,86.10,70.00,479.60,5.00,240.00,300.00,90.00
15.00,950.00,250.00,171.00,180.00,358.72,5.00,580.00,740.00,240.00
15.00,750.00,200.00,45.00,60.00,423.07,6.00,360.00,470.00,80.00
16.00,200.00,100.00,46.00,230.00,445.56,3.00,820.00,1000.00,300.00
16.00,6700.00,2500.00,603.00,90.00,279.67,9.00,580.00,800.00,150.00
16.00,810.00,210.00,48.60,60.00,432.44,6.00,260.00,330.00,80.00
16.00,450.00,120.00,4.50,10.00,193.08,7.00,180.00,260.00,50.00
16.00,780.00,200.00,117.00,150.00,432.56,6.00,1000.00,1300.00,230.00
16.00,940.00,250.00,244.40,260.00,400.72,5.00,1400.00,1700.00,370.00
16.00,370.00,120.00,81.40,220.00,339.07,5.00,1600.00,2000.00,310.00
17.00,8800.00,2960.00,264.00,30.00,231.40,8.00,700.00,1000.00,50.00
17.00,1750.00,300.00,52.50,30.00,400.73,10.00,130.00,240.00,60.00
17.00,1520.00,470.00,60.80,40.00,289.33,4.00,250.00,290.00,60.00
17.00,2170.00,480.00,195.30,90.00,439.07,6.00,340.00,430.00,130.00
17.00,1020.00,230.00,71.40,70.00,408.78,7.00,290.00,400.00,100.00
17.00,1410.00,310.00,239.70,170.00,338.79,6.00,960.00,1300.00,270.00
17.00,1360.00,350.00,149.60,110.00,374.80,5.00,400.00,470.00,150.00
17.00,970.00,250.00,9.70,10.00,196.07,5.00,100.00,150.00,20.00
17.00,420.00,110.00,79.80,190.00,307.00,8.00,750.00,1000.00,310.00
17.00,530.00,140.00,31.80,60.00,350.38,7.00,450.00,610.00,90.00
17.00,1920.00,490.00,115.20,60.00,411.09,4.00,300.00,360.00,70.00
17.00,690.00,180.00,89.70,130.00,444.52,6.00,540.00,660.00,190.00
17.00,500.00,110.00,25.00,50.00,459.92,9.00,160.00,240.00,70.00
17.00,520.00,140.00,36.40,70.00,305.23,6.00,330.00,420.00,110.00
17.00,1510.00,330.00,166.10,110.00,341.82,6.00,640.00,770.00,140.00
17.00,540.00,140.00,113.40,210.00,406.81,7.00,610.00,890.00,350.00
17.00,470.00,130.00,126.90,270.00,416.13,7.00,750.00,950.00,430.00
17.00,630.00,170.00,163.80,260.00,342.87,6.00,1100.00,1300.00,350.00
17.00,370.00,80.00,51.80,140.00,337.33,14.00,470.00,880.00,270.00
17.00,1670.00,370.00,83.50,50.00,291.99,7.00,410.00,560.00,80.00
17.00,630.00,160.00,107.10,170.00,412.99,6.00,810.00,1000.00,220.00
18.00,680.00,160.00,142.80,210.00,379.13,8.00,900.00,1400.00,330.00
18.00,1380.00,360.00,289.80,210.00,339.32,5.00,690.00,880.00,300.00
18.00,550.00,150.00,22.00,40.00,308.06,7.00,200.00,270.00,50.00
18.00,1510.00,330.00,392.60,260.00,400.72,6.00,960.00,1200.00,390.00
18.00,990.00,260.00,158.40,160.00,402.83,5.00,830.00,1000.00,210.00
18.00,1700.00,290.00,323.00,190.00,417.38,9.00,820.00,1300.00,340.00
18.00,1120.00,250.00,246.40,220.00,339.07,7.00,1200.00,1500.00,350.00
18.00,600.00,160.00,72.00,120.00,291.53,6.00,630.00,770.00,160.00
18.00,1160.00,260.00,92.80,80.00,352.27,7.00,400.00,530.00,120.00
18.00,450.00,120.00,81.00,180.00,324.97,7.00,920.00,1400.00,270.00
18.00,610.00,160.00,73.20,120.00,302.12,7.00,440.00,550.00,160.00
18.00,800.00,250.00,8.00,10.00,229.77,4.00,40.00,50.00,20.00
18.00,480.00,130.00,62.40,130.00,403.97,7.00,420.00,530.00,190.00
18.00,1210.00,270.00,193.60,160.00,318.86,7.00,680.00,1000.00,260.00
18.00,1910.00,420.00,305.60,160.00,388.70,6.00,810.00,990.00,210.00
18.00,1230.00,270.00,123.00,100.00,341.94,6.00,630.00,770.00,140.00
18.00,1540.00,340.00,338.80,220.00,339.07,6.00,660.00,830.00,330.00
18.00,1380.00,360.00,82.80,60.00,245.28,5.00,430.00,530.00,90.00
18.00,950.00,250.00,133.00,140.00,337.33,6.00,610.00,750.00,160.00
18.00,1980.00,510.00,336.60,170.00,329.32,5.00,790.00,1100.00,260.00
19.00,280.00,90.00,11.20,40.00,325.39,6.00,180.00,240.00,50.00
19.00,1000.00,260.00,160.00,160.00,309.95,5.00,860.00,1200.00,250.00
19.00,1530.00,390.00,15.30,10.00,193.08,5.00,120.00,160.00,40.00
19.00,640.00,170.00,102.40,160.00,351.48,6.00,700.00,930.00,230.00
19.00,400.00,130.00,36.00,90.00,307.74,5.00,330.00,390.00,110.00
19.00,410.00,110.00,20.50,50.00,301.54,8.00,400.00,570.00,70.00
19.00,520.00,140.00,57.20,110.00,341.82,7.00,420.00,530.00,160.00
19.00,2020.00,450.00,282.80,140.00,310.61,6.00,500.00,660.00,200.00
19.00,830.00,260.00,24.90,30.00,216.22,4.00,190.00,220.00,40.00
19.00,810.00,210.00,251.10,310.00,408.80,6.00,810.00,960.00,420.00
19.00,2620.00,580.00,786.00,300.00,395.62,6.00,1000.00,1200.00,400.00
19.00,510.00,130.00,20.40,40.00,300.28,7.00,150.00,200.00,50.00
19.00,1150.00,260.00,161.00,140.00,307.54,7.00,990.00,1400.00,240.00
19.00,1160.00,260.00,313.20,270.00,436.27,7.00,1200.00,1600.00,420.00
19.00,940.00,240.00,141.00,150.00,377.65,6.00,430.00,510.00,220.00
